,features,lables
61,9. Johann Gregoire ( France ) 22.58,O B-PER I-PER O B-LOC O O
62,10. Troy Benson ( U.S. ) 22.56,O B-PER I-PER O B-LOC O O
63,Women,O
64,1. Tatjana Mittermayer ( Germany ) 24.32,O B-PER I-PER O B-LOC O O
65,2. Candice Gilg ( France ) 24.31,O B-PER I-PER O B-LOC O O
66,3. Minna Karhu ( Finland ) 24.05,O B-PER I-PER O B-LOC O O
67,4. Tae Satoya ( Japan ) 23.75,O B-PER I-PER O B-LOC O O
68,5. Ann Battellle ( U.S. ) 23.56,O B-PER I-PER O B-LOC O O
69,6. Donna Weinbrecht ( U.S. ) 22.48,O B-PER I-PER O B-LOC O O
70,7. Liz McIntyre ( U.S. ) 22.00,O B-PER I-PER O B-LOC O O
71,8. Elena Koroleva ( Russia ) 21.77,O B-PER I-PER O B-LOC O O
72,9. Ljudmila Dymchenko ( Russia ) 21.59,O B-PER I-PER O B-LOC O O
73,10. Katleen Allais ( France ) 21.58,O B-PER I-PER O B-LOC O O
74,-DOCSTART- SOCCER - ASIAN CUP GROUP C RESULTS .,O O O B-MISC I-MISC O O O O
75,"AL-AIN , United Arab Emirates 1996-12-06",B-LOC O B-LOC I-LOC I-LOC O
76,Results of Asian Cup group C matches played on Friday :,O O B-MISC I-MISC O O O O O O O
77,Japan 2 Syria 1 ( halftime 0-1 ),B-LOC O B-LOC O O O O O
78,Scorers :,O O
79,"Japan - Hassan Abbas 84 own goal , Takuya Takagi 88 .",B-LOC O B-PER I-PER O O O O B-PER I-PER O O
80,Syria - Nader Jokhadar 7,B-LOC O B-PER I-PER O
81,"Attendance : 10,000 .",O O O O
82,China 0 Uzbekistan 2 ( halftime 0-0 ),B-LOC O B-LOC O O O O O
83,"Scorers : Shkvyrin Igor 78 , Shatskikh Oleg 90",O O B-PER I-PER O O B-PER I-PER O
84,"Attendence : 3,000",O O O
85,"Standings ( tabulate under played , won , drawn , lost , goals",O O O O O O O O O O O O O
86,"for , goals against , points ) :",O O O O O O O O
87,Uzbekistan 1 1 0 0 2 0 3,B-LOC O O O O O O O
88,Japan 1 1 0 0 2 1 3,B-LOC O O O O O O O
89,Syria 1 0 0 1 1 2 0,B-LOC O O O O O O O
90,China 1 0 0 1 0 2 0,B-LOC O O O O O O O
91,-DOCSTART- CRICKET - PAKISTAN V NEW ZEALAND ONE-DAY SCOREBOARD .,O O O B-LOC O B-LOC I-LOC O O O
92,[ CORRECTED 14:06 GMT ],O O O B-MISC O
93,"SIALKOT , Pakistan 1996-12-06",B-LOC O B-LOC O
94,Scoreboard in the second,O O O O
95,one-day cricket international between Pakistan and New Zealand,O O O O B-LOC O B-LOC I-LOC
96,on Friday :,O O O
97,Pakistan,B-LOC
98,Saeed Anwar run out 91 ( corrects from 90 ),B-PER I-PER O O O O O O O O
99,Zahoor Elahi b Cairns 86 ( corrects from 87 ),B-PER I-PER O B-PER O O O O O O
100,Ijaz Ahmad c Spearman b Vaughan 59,B-PER I-PER O B-PER O B-PER O
101,Inzamamul Haq st Germon b Astle 2,B-PER I-PER O B-PER O B-PER O
102,Wasim Akram b Harris 4,B-PER I-PER O B-PER O
103,Shahid Afridi b Harris 2,B-PER I-PER O B-PER O
104,Moin Khan c Astle b Harris 1,B-PER I-PER O B-PER O B-PER O
105,Waqar Younis st Germon b Harris 0,B-PER I-PER O B-PER O B-PER O
106,Saqlain Mushtaq b Harris 2,B-PER I-PER O B-PER O
107,Mushtaq Ahmad not out 5,B-PER I-PER O O O
108,Salim Malik not out 1,B-PER I-PER O O O
109,Extras ( lb-8 nb-2 w-14 ) 24,O O O O O O O
110,Total ( for 9 wickets in 47 overs ) 277,O O O O O O O O O O
111,Fall of wicket : 1-177 ( corrects from 1-178 ) 2-225 3-240 4-247 5-252 6-260 7-261 8-269 9-276,O O O O O O O O O O O O O O O O O O
112,"Bowling : Doull 8-1-60-0 ( w-3 ) , Kennedy 3-0-24-0 ( w-7 nb-1 ) ,",O O B-PER O O O O O B-PER O O O O O O
113,"Cairns 8-1-35-1 ( w-2 ) , Vaughan 9-1-55-1 , Harris 10-0-42-5 ( w-1 ) ,",B-PER O O O O O B-PER O O B-PER O O O O O
114,Astle 9-0-53-1 ( w-1 nb-1 ),B-PER O O O O O
115,New Zealand innings,B-LOC I-LOC O
116,B. Young c Moin Khan b Waqar 5,B-PER I-PER O B-PER I-PER O B-PER O
117,C. Spearman c Moin Khan b Wasim 0,B-PER I-PER O B-PER I-PER O B-PER O
118,A. Parore c Ijaz Ahmad b Saqlain 37,B-PER I-PER O B-PER I-PER O B-PER O
119,S. Fleming c and b Afridi 88,B-PER I-PER O O O B-PER O
120,C. Cairns b Saqlain 10,B-PER I-PER O B-PER O
121,N. Astle c Ijaz Ahmad b Salim Malik 20,B-PER I-PER O B-PER I-PER O B-PER I-PER O
122,C. Harris lbw b Wasim 22,B-PER I-PER O O B-PER O
123,L. Germon lbw b Afridi 2,B-PER I-PER O O B-PER O
124,J. Vaughan c Moin Khan b Wasim 13,B-PER I-PER O B-PER I-PER O B-PER O
125,S. Doull c subs ( M. Wasim ) b Waqar 1,B-PER I-PER O O O B-PER I-PER O O B-PER O
126,R. Kennedy not out 7,B-PER I-PER O O O
127,Extras ( b-9 lb-3 w-12 nb-2 ) 26,O O O O O O O O
128,Total ( all out in 42.1 overs ) 231,O O O O O O O O O
129,Fall of wickets : 1-3 2-7 3-125 4-146 5-170 6-190 7-195,O O O O O O O O O O O
130,8-213 9-216 .,O O O
131,"Bowling : Wasim Akram 8.1-0-43-3 ( 9w , 1nb ) , Waqar Younis",O O B-PER I-PER O O O O O O O B-PER I-PER
132,"6-0-32-2 ( 2w , 1nb ) , Saqlain Mushtaq 8-0-54-2 , Mushtaq Ahmad",O O O O O O O B-PER I-PER O O B-PER I-PER
133,"10-0-42-0 ( 1w ) , Shahid Afridi 7-0-40-2 , Salim Malik 2.5-0-8-1 ,",O O O O O B-PER I-PER O O B-PER I-PER O O
134,Ijaz Ahmad 0.1-0-0-0 .,B-PER I-PER O O
135,Result : Pakistan won by 46 runs .,O O B-LOC O O O O O
136,"Third one-day match : December 8 , in Karachi .",O O O O O O O O B-LOC O
137,-DOCSTART- SOCCER - ENGLISH F.A. CUP SECOND ROUND RESULT .,O O O B-MISC I-MISC I-MISC O O O O
138,LONDON 1996-12-06,B-LOC O
139,Result of an English F.A. Challenge,O O O B-MISC I-MISC I-MISC
140,Cup second round match on Friday :,B-MISC O O O O O O
141,Plymouth 4 Exeter 1,B-ORG O B-ORG O
142,-DOCSTART- SOCCER - BLINKER BAN LIFTED .,O O O B-PER O O O
143,LONDON 1996-12-06,B-LOC O
144,Dutch forward Reggie Blinker had his indefinite suspension lifted by FIFA on Friday and was set to make his Sheffield Wednesday comeback against Liverpool on Saturday .,B-MISC O B-PER I-PER O O O O O O B-ORG O O O O O O O O B-ORG I-ORG O O B-ORG O O O
145,Blinker missed his club 's last two games after FIFA slapped a worldwide ban on him for appearing to sign contracts for both Wednesday and Udinese while he was playing for Feyenoord .,B-PER O O O O O O O O B-ORG O O O O O O O O O O O O O B-ORG O B-ORG O O O O O B-ORG O
146,"FIFA 's players ' status committee , meeting in Barcelona , decided that although the Udinese document was basically valid , it could not be legally protected .",B-ORG O O O O O O O O B-LOC O O O O O B-ORG O O O O O O O O O O O O
147,"The committee said the Italian club had violated regulations by failing to inform Feyenoord , with whom the player was under contract .",O O O O B-MISC O O O O O O O O B-ORG O O O O O O O O O
148,"Blinker was fined 75,000 Swiss francs ( $ 57,600 ) for failing to inform the Engllsh club of his previous commitment to Udinese .",B-PER O O O B-MISC O O O O O O O O O O B-MISC O O O O O O B-ORG O
149,-DOCSTART- SOCCER - LEEDS ' BOWYER FINED FOR PART IN FAST-FOOD FRACAS .,O O O B-ORG O B-PER O O O O O O O
150,LONDON 1996-12-06,B-LOC O
151,"Leeds ' England under-21 striker Lee Bowyer was fined 4,500 pounds ( $ 7,400 ) on Friday for hurling chairs at restaurant staff during a disturbance at a McDonald 's fast-food restaurant .",B-ORG O B-LOC O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG O O O
152,"Bowyer , 19 , who was caught in the act by security cameras , pleaded guilty to a charge of affray at a court in London .",B-PER O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O
153,He was fined and ordered to pay a total of 175 pounds to two members of staff injured in the fracas in an east London restaurant in October .,O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O
154,"Leeds had already fined Bowyer 4,000 pounds ( $ 6,600 ) and warned him a repeat of his criminal behaviour could cost him his place in the side .",B-ORG O O O B-PER O O O O O O O O O O O O O O O O O O O O O O O O
155,"Bowyer , who moved to the Yorkshire club in August for 3.5 million pounds ( $ 5.8 million ) , was expected to play against Middlesbrough on Saturday .",B-PER O O O O O B-LOC O O O O O O O O O O O O O O O O O O B-ORG O O O
156,-DOCSTART- BASKETBALL - EUROLEAGUE STANDINGS .,O O O B-MISC O O
157,LONDON 1996-12-06,B-LOC O
158,Standings in the men 's EuroLeague,O O O O O B-MISC
159,basketball championship after Thursday 's matches ( tabulate under,O O O O O O O O O
160,"played , won , lost , points ) :",O O O O O O O O O
161,Group A,O O
162,CSKA Moscow ( Russia 9 6 3 15,B-ORG I-ORG O B-LOC O O O O
163,Stefanel Milan ( Italy ) 9 6 3 15,B-ORG I-ORG O B-LOC O O O O O
164,Maccabi Tel Aviv ( Israel ) 9 5 4 14,B-ORG I-ORG I-ORG O B-LOC O O O O O
165,Ulker Spor ( Turkey ) 9 4 5 13,B-ORG I-ORG O B-LOC O O O O O
166,Limoges ( France ) 9 3 6 12,B-ORG O B-LOC O O O O O
167,Panionios ( Greece ) 9 3 6 12,B-ORG O B-LOC O O O O O
168,Group B,O O
169,Teamsystem Bologna ( Italy ) 9 7 2 16,B-ORG I-ORG O B-LOC O O O O O
170,Olympiakos ( Greece ) 9 5 4 14,B-ORG O B-LOC O O O O O
171,Cibona Zagreb ( Croatia ) 9 5 4 14,B-ORG I-ORG O B-LOC O O O O O
172,Alba Berlin ( Germany ) 9 5 4 14,B-ORG I-ORG O B-LOC O O O O O
173,Estudiantes Madrid ( Spain ) 9 5 4 14,B-ORG I-ORG O B-LOC O O O O O
174,Charleroi ( Belgium ) 9 0 9 9,B-ORG O B-LOC O O O O O
175,Group C,O O
176,Panathinaikos ( Greece ) 9 7 2 16,B-ORG O B-LOC O O O O O
177,Ljubljana ( Slovenia ) 9 6 3 15,B-ORG O B-LOC O O O O O
178,Villeurbanne ( France ) 9 6 3 15,B-ORG O B-LOC O O O O O
179,Barcelona ( Spain ) 9 4 5 13,B-ORG O B-LOC O O O O O
180,Split ( Croatia ) 9 4 5 13,B-ORG O B-LOC O O O O O
181,Bayer Leverkusen ( Germany ) 9 0 9 9,B-ORG I-ORG O B-LOC O O O O O
182,Group D,O O
183,Efes Pilsen ( Turkey ) 9 7 2 16,B-ORG I-ORG O B-LOC O O O O O
184,Pau-Orthez ( France ) 9 5 4 14,B-ORG O B-LOC O O O O O
185,Partizan Belgrade ( Yugoslavia ) 9 5 4 14,B-ORG I-ORG O B-LOC O O O O O
186,Kinder Bologna ( Italy ) 9 4 5 13,B-ORG I-ORG O B-LOC O O O O O
187,Sevilla ( Spain ) 9 4 5 13,B-ORG O B-LOC O O O O O
188,Dynamo Moscow ( Russia ) 9 2 7 11,B-ORG I-ORG O B-LOC O O O O O
189,-DOCSTART- RUGBY UNION - LITTLE TO MISS CAMPESE FAREWELL .,O B-ORG I-ORG O B-PER O O B-PER O O
190,Robert Kitson,B-PER I-PER
191,LONDON 1996-12-06,B-LOC O
192,Centre Jason Little will miss Australia 's end-of-tour fixture against the Barbarians at Twickenham on Saturday .,O B-PER I-PER O O B-LOC O O O O O B-ORG O B-LOC O O O
193,Little has opted not to risk aggravating the knee injury which ruled him out of a large chunk of the tour and is replaced by fellow Queenslander Daniel Herbert .,B-PER O O O O O O O O O O O O O O O O O O O O O O O O O B-MISC B-PER I-PER O
194,Owen Finegan has recovered from the knocks he took in last weekend 's test against Wales and retains his place in the back-row ahead of Daniel Manu .,B-PER I-PER O O O O O O O O O O O O O B-LOC O O O O O O O O O B-PER I-PER O
195,The Wallabies have their sights set on a 13th successive victory to end their European tour with a 100 percent record but also want to turn on the style and provide David Campese with a fitting send-off in his final match in Australian colours .,O B-ORG O O O O O O O O O O O O B-MISC O O O O O O O O O O O O O O O O B-PER I-PER O O O O O O O O O B-MISC O O
196,"The Wallabies currently have no plans to make any special presentation to the 34-year-old winger but a full house of 75,000 spectators will still gather in the hope of witnessing one last moment of magic .",O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
197,"Campese will be up against a familiar foe in the shape of Barbarians captain Rob Andrew , the man who kicked Australia to defeat with a last-ditch drop-goal in the World Cup quarter-final in Cape Town .",B-PER O O O O O O O O O O O B-ORG O B-PER I-PER O O O O O B-LOC O O O O O O O O B-MISC I-MISC O O B-LOC I-LOC O
198,""" Campo has a massive following in this country and has had the public with him ever since he first played here in 1984 , "" said Andrew , also likely to be making his final Twickenham appearance .",O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O B-PER O O O O O O O O B-LOC O O
199,"On tour , Australia have won all four tests against Italy , Scotland , Ireland and Wales , and scored 414 points at an average of almost 35 points a game .",O O O B-LOC O O O O O O B-LOC O B-LOC O B-LOC O B-LOC O O O O O O O O O O O O O O O
200,"League duties restricted the Barbarians ' selectorial options but they still boast 13 internationals including England full-back Tim Stimpson and recalled wing Tony Underwood , plus All Black forwards Ian Jones and Norm Hewitt .",O O O O B-ORG O O O O O O O O O O B-LOC O B-PER I-PER O O O B-PER I-PER O O B-ORG I-ORG O B-PER I-PER O B-PER I-PER O
201,Teams :,O O
202,"Barbarians - 15 - Tim Stimpson ( England ) ; 14 - Nigel Walker ( Wales ) , 13 - Allan Bateman ( Wales ) , 12 - Gregor Townsend ( Scotland ) , 11 - Tony Underwood ( England ) ; 10 - Rob Andrew ( England ) , 9 - Rob Howley ( Wales ) ; 8 - Scott Quinnell ( Wales ) , 7 - Neil Back ( England ) , 6 - Dale McIntosh ( Pontypridd ) , 5 - Ian Jones ( New Zealand ) , 4 - Craig Quinnell ( Wales ) , 3 - Darren Garforth ( Leicester ) , 2 - Norm Hewitt ( New Zealand ) , 1 - Nick Popplewell ( Ireland ) .",B-ORG O O O B-PER I-PER O B-LOC O O O O B-PER I-PER O B-LOC O O O O B-PER I-PER O B-LOC O O O O B-PER I-PER O B-LOC O O O O B-PER I-PER O B-LOC O O O O B-PER I-PER O B-LOC O O O O B-PER I-PER O B-LOC O O O O B-PER I-PER O B-LOC O O O O B-PER I-PER O B-LOC O O O O B-PER I-PER O B-LOC O O O O B-PER I-PER O B-LOC I-LOC O O O O B-PER I-PER O B-LOC O O O O B-PER I-PER O B-LOC O O O O B-PER I-PER O B-LOC I-LOC O O O O B-PER I-PER O B-LOC O O
203,"Australia - 15 - Matthew Burke ; 14 - Joe Roff , 13 - Daniel Herbert , 12 - Tim Horan ( captain ) , 11 - David Campese ; 10 - Pat Howard , 9 - Sam Payne ; 8 - Michael Brial , 7 - David Wilson , 6 - Owen Finegan , 5 - David Giffin , 4 - Tim Gavin , 3 - Andrew Blades , 2 - Marco Caputo , 1 - Dan Crowley .",B-LOC O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O
204,-DOCSTART- GOLF - ZIMBABWE OPEN SECOND ROUND SCORES .,O O O B-MISC I-MISC O O O O
205,HARARE 1996-12-06,B-LOC O
206,"Leading second round scores in the Zimbabwe Open at the par-72 Chapman Golf Club on Friday ( South African unless stated ) : 132 Des Terblanche 65 67 133 Mark McNulty ( Zimbabwe ) 72 61 134 Steve van Vuuren 65 69 136 Nick Price ( Zimbabwe ) 68 68 , Justin Hobday 71 65 ,",O O O O O O B-MISC I-MISC O O O B-LOC I-LOC I-LOC O O O B-MISC I-MISC O O O O O B-PER I-PER O O O B-PER I-PER O B-LOC O O O O B-PER I-PER I-PER O O O B-PER I-PER O B-LOC O O O O B-PER I-PER O O O
207,"Andrew Pitts ( U.S. ) 69 67 138 Mark Cayeux ( Zimbabwe ) 69 69 , Mark Murless 71 67 139 Hennie Swart 75 64 , Andrew Park 72 67 140 Schalk van der Merwe ( Namibia ) 67 73 , Desvonde",B-PER I-PER O B-LOC O O O O B-PER I-PER O B-LOC O O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER I-PER I-PER O B-LOC O O O O B-PER
208,"Botes 72 68 , Greg Reid 72 68 , Clinton Whitelaw 70",B-PER O O O B-PER I-PER O O O B-PER I-PER O
209,"70 , Brett Liddle 75 65 , Hugh Baiocchi 73 67 141 Adilson da Silva ( Brazil ) 72 69 , Sammy Daniels 73",O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER I-PER O B-LOC O O O O B-PER I-PER O
210,"68 , Trevor Dodds ( Namibia ) 72 69 142 Don Robertson ( U.S. ) 73 69 , Dion Fourie 69 73 ,",O O B-PER I-PER O B-LOC O O O O B-PER I-PER O B-LOC O O O O B-PER I-PER O O O
211,"Steve Waltman 72 70 , Ian Dougan 73 69",B-PER I-PER O O O B-PER I-PER O O
212,-DOCSTART- SOCCER - UNCAPPED PLAYERS CALLED TO FACE MACEDONIA .,O O O O O O O O B-LOC O
213,BUCHAREST 1996-12-06,B-LOC O
214,Romania trainer Anghel Iordanescu called up three uncapped players on Friday in his squad to face Macedonia next week in a World Cup qualifier .,B-LOC O B-PER I-PER O O O O O O O O O O O O B-LOC O O O O B-MISC I-MISC O O
215,Midfielder Valentin Stefan and striker Viorel Ion of Otelul Galati and defender Liviu Ciobotariu of National Bucharest are the newcomers for the European group eight clash in Macedonia on December 14 .,O B-PER I-PER O O B-PER I-PER O B-ORG I-ORG O O B-PER I-PER O B-ORG I-ORG O O O O O B-MISC O O O O B-LOC O O O O
